PairID;BrAttempt;EggDate;HatchDate;ChickGoneDate;EggLossDate;FailureCause;BreedSucc;EggPosX;EggPosY;EggExact;HatchExact;FledgeExact;ChickMinAge;Comment
Triangle-3-2015-1;1;2015-05-12;2015-06-12;2015-06-28;;Human disturbance;NA;NA;NA;1;1;NA;NA;U1 borta 28/6 2015, hoppade vid fångstförsök. EJ MED I BERÄKNINGARNA!
Bonden-2-2015-1;1;2015-05-13;2015-06-14;2015-07-05;;;1;NA;NA;3;4;1;21;
Rost-3-2015-4;1;2015-05-13;;;2015-05-13;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 13/5 2015
Bonden-4-2015-1;1;2015-05-15;;;2015-06-22;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 22/6 2015
Farallon-3-2015-6;1;2015-05-15;;;2015-06-13;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 13/6 2015
Farallon-1-2015-2;1;2015-05-16;2015-06-17;2015-07-05;;;1;NA;NA;1;1;1;18;
Triangle-3-2015-2;1;2015-05-22;;;2015-05-25;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 25/5 2015
Rost-3-2015-5;1;2015-05-27;2015-06-28;2015-07-19;;;1;NA;NA;1;1;1;21;
Rost-3-2015-1;2;2015-05-27;2015-06-28;2015-07-19;;;1;NA;NA;1;1;1;21;
Rost-3-2015-4;2;2015-05-27;;;2015-05-30;;0;NA;NA;1;NA;NA;NA;Ä2 förlorat 30/5 2015
Triangle-2-2015-1;1;2015-05-30;2015-07-02;2015-07-18;;;1;NA;NA;1;1;1;16;
Farallon-3-2015-2;2;2015-05-30;;;2015-07-01;;0;NA;NA;1;NA;NA;NA;Ä2 förlorat 1/7 2015
Triangle-2-2015-2;1;2015-05-31;2015-07-05;2015-07-17;;;0;NA;NA;1;1;1;12;U för ung för att räknas som flygg, med i beräkningarna
Farallon-1-2015-3;1;2015-06-01;;;2015-06-02;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 2/6 2015
Rost-3-2015-2;2;2015-06-02;2015-07-05;2015-07-19;;;0;NA;NA;1;1;1;14;U för ung för att räknas som flygg, med i beräkningarna
Triangle-2-2015-3;1;2015-06-09;2015-07-12;2015-07-13;;;0;NA;NA;1;1;NA;NA;U1 borta 13/7 2015
Bonden-4-2015-2;1;2015-06-11;2015-07-11;;;;NA;NA;NA;1;1;NA;NA;Häckning ej avslutad 19/7, fortf unge. EJ MED I BERÄKNINGARNA!
Farallon-1-2015-1;1;2015-06-12;2015-06-12;2015-06-28;;;1;NA;NA;1;1;1;16;
Bonden-1-2016-1;1;2016-05-02;2016-06-03;2016-06-24;;;1;NA;NA;1;2;2;20;
Rost-2-2016-1;1;2016-05-03;2016-06-05;2016-06-30;;;1;NA;NA;1;1;1;25;
