PairID;BrAttempt;EggDate;HatchDate;ChickGoneDate;EggLossDate;BreedSucc
Triangle-2-2016-2;1;2016-05-19;2016-06-22;2016-07-09;;1
Rost-5-2016-2;1;2016-05-20;2016-06-21;2016-07-14;;1
Farallon-4-2016-1;1;2016-05-24;2016-06-25;2016-07-15;;1
Farallon-1-2016-2;2;2016-05-28;;;2016-06-16;0
Farallon-1-2016-3;1;2016-05-29;2016-07-01;2016-07-09;;0
Triangle-2-2016-4;1;2016-05-31;2016-07-05;2016-07-15;;0
Triangle-3-2016-2;1;2016-05-31;;;2016-06-05;0
Rost-3-2016-4;1;2016-06-03;;;2016-07-05;0
Farallon-2-2016-1;2;2016-06-09;;;2016-06-13;0
Rost-5-2016-3;1;2016-06-10;;;2016-07-08;0
Bonden-1-2017-1;1;2017-05-04;2017-06-05;2017-06-28;;1
Rost-2-2017-3;1;2017-05-06;2017-06-09;2017-06-30;;1
Rost-3-2017-1;1;2017-05-09;2017-06-11;2017-07-03;;1
Bonden-3-2017-1;1;2017-05-10;2017-06-14;2017-07-03;;1
Bonden-4-2017-2;1;2017-05-10;2017-06-13;2017-07-05;;1
Farallon-3-2017-2;1;2017-05-10;2017-06-12;2017-07-03;;1
Rost-2-2017-2;1;2017-05-10;2017-06-14;2017-07-07;;1
Rost-5-2017-4;1;2017-05-10;2017-06-16;2017-07-07;;1
Bonden-4-2017-1;1;2017-05-11;2017-06-13;2017-07-03;;1
Farallon-3-2017-1;1;2017-05-11;2017-06-15;2017-07-05;;1
Rost-2-2017-1;1;2017-05-11;;;2017-07-04;0
Rost-5-2017-3;1;2017-05-11;2017-06-14;2017-07-07;;1
Triangle-3-2017-1;1;2017-05-11;2017-06-15;2017-07-03;;1
Bonden-4-2017-3;1;2017-05-12;2017-06-17;2017-07-05;;1
Farallon-1-2017-1;1;2017-05-12;2017-06-11;2017-06-28;;1
Farallon-3-2017-8;1;2017-05-12;2017-06-13;2017-07-03;;1
Farallon-3-2017-7;1;2017-05-13;2017-06-15;2017-07-03;;1
Farallon-3-2017-5;1;2017-05-13;2017-06-15;2017-07-05;;1
Farallon-3-2017-4;1;2017-05-14;;;2017-07-03;0
Triangle-2-2017-1;1;2017-05-14;;;2017-06-11;0
Bonden-2-2017-1;1;2017-05-15;2017-06-16;2017-07-05;;1
Farallon-1-2017-4;1;2017-05-15;2017-06-17;2017-07-02;;0
Farallon-2-2017-1;1;2017-05-15;2017-06-17;2017-07-05;;1
Farallon-4-2017-1;1;2017-05-15;2017-06-20;2017-07-06;;1
Triangle-2-2017-3;1;2017-05-15;2017-06-18;2017-07-06;;1
Rost-3-2017-5;1;2017-05-16;2017-06-18;2017-06-26;;0
Triangle-2-2017-2;1;2017-05-17;2017-06-20;2017-07-08;;1
Bonden-4-2017-4;1;2017-05-18;2017-06-21;2017-07-06;;1
Farallon-3-2017-3;1;2017-05-18;;;2017-06-19;0
Rost-2-2017-4;1;2017-05-18;2017-06-20;2017-07-09;;1
Rost-2-2017-5;1;2017-05-19;2017-06-22;2017-07-06;;0
Triangle-2-2017-4;1;2017-05-20;2017-06-23;2017-07-09;;1
Farallon-4-2017-2;1;2017-05-21;2017-06-20;2017-07-07;;1
Rost-5-2017-5;1;2017-05-21;2017-06-26;2017-07-15;;1
Triangle-2-2017-5;1;2017-05-21;2017-06-22;2017-07-06;;0
Triangle-3-2017-2;1;2017-05-21;2017-06-23;2017-07-11;;1
Bonden-5-2017-1;1;2017-05-24;;;2017-06-17;0
Bonden-5-2017-3;1;2017-05-26;;;2017-06-23;0
Bonden-6-2017-1;1;2017-05-26;;;2017-06-22;0
Triangle-1-2017-1;1;2017-05-26;2017-06-26;2017-07-15;;1
Farallon-5-2017-1;1;2017-05-30;;;2017-05-31;0
Bonden-6-2017-2;1;2017-05-31;;;2017-06-21;0
Farallon-1-2017-3;1;2017-06-03;;;2017-06-05;0
Triangle-3-2017-3;1;2017-06-04;;;2017-07-05;0
Bonden-6-2017-3;1;2017-06-13;;;2017-07-06;0
Rost-6-2017-2;1;2017-06-17;;;2017-07-07;0
Bonden-1-2018-1;1;2018-05-06;2018-06-07;2018-06-28;;1
Rost-2-2018-1;1;2018-05-08;2018-06-09;2018-07-04;;1
Rost-6-2018-1;1;2018-05-08;2018-06-14;2018-06-28;;0
