Date;Video time;Individual;Egg/Chick underneath (Y/N);Sun/Shade/Both;Temp;Panting;Raised shoulders;Orientation towards sun;All;Comments;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;17:06:00;3;Y;Sun;41,8;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;17:06:00;4;Y;Sun;41,8;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;17:06:00;5;Y;Sun;41,8;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;17:06:00;6;Y;Sun;41,8;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;17:06:00;7;Y;Sun;41,8;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;17:06:00;8;Y;Sun;41,8;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;17:06:00;9;N;Sun;41,8;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;18:50:00;1;N;Sun;41,4;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;18:50:00;2;Y;Both;41,4;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;18:50:00;3;Y;Sun;41,4;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;18:50:00;4;Y;Sun;41,4;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;18:50:00;5;N;Sun;41,4;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;18:50:00;6;Y;Sun;41,4;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;18:50:00;7;Y;Sun;41,4;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;18:50:00;8;N;Sun;41,4;0;0;0;0;Arrived just a few seconds before;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;18:50:00;9;Y;Sun;41,4;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
13.06.20;19:02:00;1;Y;Both;41,3;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
13.06.20;19:02:00;2;Y;Sun;41,3;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
13.06.20;19:02:00;3;Y;Sun;41,3;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
13.06.20;19:02:00;4;Y;Sun;41,3;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
13.06.20;19:02:00;5;Y;Sun;41,3;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
13.06.20;19:02:00;6;N;Sun;41,3;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
13.06.20;19:02:00;7;Y;Sun;41,3;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.20;16:46:00;1;Y;Both;30,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.20;16:46:00;2;Y;Both;30,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.20;16:46:00;3;Y;Sun;30,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.20;16:46:00;4;N;Sun;30,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.20;16:46:00;5;Y;Sun;30,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.20;16:46:00;6;Y;Sun;30,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.20;16:46:00;7;Y;Sun;30,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.20;16:46:00;8;Y;Sun;30,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.20;16:46:00;9;N;Sun;30,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;21:20:00;1;N;Sun;30,6;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;21:20:00;2;Y;Sun;30,6;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;21:20:00;3;Y;Sun;30,6;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;21:20:00;4;Y;Sun;30,6;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;21:20:00;5;N;Sun;30,6;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;21:20:00;6;Y;Sun;30,6;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;21:20:00;7;N;Sun;30,6;0;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;21:20:00;8;Y;Sun;30,6;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;21:20:00;9;N;Sun;30,6;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;21:20:00;10;Y;Sun;30,6;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
17.06.20;16:48:00;1;Y;Both;30,7;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
17.06.20;16:48:00;2;Y;Both;30,7;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
17.06.20;16:48:00;3;Y;Both;30,7;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
17.06.20;16:48:00;4;N;Sun;30,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
17.06.20;16:48:00;5;Y;Sun;30,7;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
17.06.20;16:48:00;6;Y;Sun;30,7;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
17.06.20;16:48:00;7;Y;Sun;30,7;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
17.06.20;16:48:00;8;N;Sun;30,7;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
17.06.20;16:48:00;9;Y;Sun;30,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:06:00;1;Y;Sun;31,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:06:00;2;Y;Sun;31,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:06:00;3;Y;Sun;31,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:06:00;4;N;Sun;31,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:06:00;5;Y;Sun;31,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:06:00;6;N;Sun;31,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:06:00;7;Y;Sun;31,1;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:06:00;8;Y;Sun;31,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:06:00;9;N;Sun;31,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:06:00;10;Y;Sun;31,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
12.06.20;19:12:00;1;Y;Sun;31,3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
12.06.20;19:12:00;2;Y;Sun;31,3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
12.06.20;19:12:00;3;Y;Sun;31,3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
12.06.20;19:12:00;4;N;Sun;31,3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
12.06.20;19:12:00;5;Y;Sun;31,3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
12.06.20;19:12:00;6;N;Sun;31,3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
12.06.20;19:12:00;7;Y;Sun;31,3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
12.06.20;19:12:00;8;Y;Sun;31,3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
12.06.20;19:12:00;9;N;Sun;31,3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
12.06.20;19:12:00;10;Y;Sun;31,3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.20;18:44:00;1;Y;Both;31,5;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.20;18:44:00;2;Y;Sun;31,5;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.20;18:44:00;3;Y;Sun;31,5;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.20;18:44:00;4;N;Sun;31,5;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.20;18:44:00;5;Y;Sun;31,5;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.20;18:44:00;6;Y;Sun;31,5;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.20;18:44:00;7;Y;Sun;31,5;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.20;18:44:00;8;Y;Sun;31,5;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.20;16:18:00;1;Y;Both;32;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.20;16:18:00;2;Y;Both;32;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.20;16:18:00;3;Y;Sun;32;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.20;16:18:00;4;Y;Sun;32;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.20;16:18:00;5;N;Sun;32;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.20;16:18:00;6;N;Sun;32;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.20;16:18:00;7;Y;Sun;32;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.20;16:18:00;8;Y;Sun;32;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:08:00;1;Y;Sun;33,5;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:08:00;2;N;Sun;33,5;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:08:00;3;Y;Sun;33,5;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:08:00;4;Y;Sun;33,5;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:08:00;5;N;Sun;33,5;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:08:00;6;Y;Sun;33,5;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:08:00;7;Y;Sun;33,5;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:08:00;8;Y;Sun;33,5;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:08:00;9;N;Sun;33,5;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:08:00;10;N;Sun;33,5;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.20;19:08:00;11;Y;Sun;33,5;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.20;16:44:00;1;Y;Both;34,3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.20;16:44:00;2;Y;Sun;34,3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.20;16:44:00;3;Y;Sun;34,3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.20;16:44:00;4;Y;Sun;34,3;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.20;16:44:00;5;N;Sun;34,3;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.20;16:44:00;6;Y;Sun;34,3;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.20;16:44:00;7;Y;Sun;34,3;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.20;16:44:00;8;N;Sun;34,3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;21:00:00;1;N;Sun;35;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;21:00:00;2;Y;Sun;35;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;21:00:00;3;Y;Sun;35;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;21:00:00;4;Y;Sun;35;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;21:00:00;5;Y;Sun;35;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;21:00:00;6;Y;Sun;35;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;21:00:00;7;N;Sun;35;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;21:00:00;8;Y;Sun;35;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;21:00:00;9;N;Sun;35;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;20:56:00;1;Y;Sun;35,9;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;20:56:00;2;Y;Sun;35,9;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;20:56:00;3;Y;Sun;35,9;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
